성분명,위험도,지성,건성,민감성
작약꽃추출물,-1,0,0,0
작약추출물,-1,0,0,0
잔탄검,-1,0,0,0
장미꽃오일,-1,0,0,0
쟈스민꽃수,0,0,0,0
쟈스민추출물,-2,0,0,0
적색산화철,-2,0,0,0
접시꽃추출물,0,0,0,0
정제수,-1,0,0,0
제라니올,-7,0,0,0
젤란검,-1,0,0,0
지르코늄디옥사이드,-4,0,0,0
진주가루,-1,0,0,0
진주추출물,0,0,0,0
징크글루코네이트,-3,0,0,0
징크디엔에이,0,0,0,0
징크설페이트,-4,0,0,0
징크스테아레이트,-2,0,0,0
징크옥사이드,-3,5,0,0
차오타우린,-1,0,0,0
참깨싹추출물,0,0,0,0
참깨오일,-1,0,0,0
참나리추출물,-1,0,0,0
참마뿌리추출물,0,0,0,0
천궁추출물,-1,0,0,0
초피나무열매추출물,-1,0,0,0
치아씨추출물,-1,0,0,0
치옥틱애씨드,-2,0,0,0
치커리뿌리추출물,-1,0,0,0
칡뿌리추출물,-1,0,0,0
카렌둘라추출물,-1,5,0,0
카르니틴,-1,0,0,0
카보머,-1,0,0,0
카카두플럼추출물,-1,0,0,0
카카오추출물,-1,0,0,0
카퍼글루코네이트,-2,0,0,0
카퍼트라이펩타이드-1,-1,0,0,0
카페익애씨드,0,0,0,0
카프릴릭/카프릭/석시닉트리글리세라이드,-1,0,0,0
카프릴릭/카프릭트라이글리세라이드,-1,0,0,0
카프릴릴/카프릴글루코사이드,-1,0,0,0
카프릴릴글라이콜,-1,0,0,0
카프릴릴메티콘,-1,0,0,0
카프릴하이드록사믹애씨드,-1,0,0,0
칸데릴라왁스,-1,0,0,0
칼라민,-1,0,0,0
칼슘글루코네이트,-1,0,0,0
칼슘알루미늄보로실리케이트,-1,0,0,0
칼슘판테테인설포네이트,-1,0,0,0
칼슘판토테네이트,-1,0,0,0
캐럽콩검,-1,0,0,0
캐럽콩추출물,0,0,0,0
캐모마일꽃수,-1,0,5,5
캐모마일꽃오일,-1,0,5,5
캐모마일꽃추출물,-1,0,5,5
커먼자스민오일,-3,0,0,-5
커먼자스민추출물,-2,0,0,0
코코-글루코사이드,-1,0,0,0
코코넛야자오일,-1,-5,0,0
코코-카프릴레이트,-1,0,0,0
코튼씨오일,-1,0,0,0
코튼추출물,-1,0,0,0
콜레스테롤,-1,0,0,0
콜레스테릴/베헤닐/옥틸도데실라우로일글루타메이트,-1,0,0,0
콜레스테릴헥실디카바메이트풀루란,0,0,0,0
콜로이달오트밀,-1,0,0,0
콩싹추출물,-1,0,0,0
