성분명,위험도,지성,건성,민감성
아르니카꽃추출물,-2,0,0,0
아미노프로필다이메티콘,-1,0,0,0
아미노프로필아스코빌포스페이트,-1,0,0,0
아보카도오일,-1,0,5,0
아세틸레이티드글라이콜스테아레이트,-1,0,0,0
아세틸카르니틴에이치씨엘,-1,0,0,0
아세틸헥사펩타이드-8,-1,0,0,0
아스코빅애씨드,-1,0,5,0
아스코빌글루코사이드,-1,0,0,0
아스코빌테트라아이소팔미테이트,-1,0,0,0
아스코빌팔미테이트,-1,0,0,0
아스파라거스추출물,0,0,0,0
아스파틱애씨드,-1,0,0,0
아시아티코사이드,-1,0,0,0
아시아틱애씨드,-1,0,0,0
아이런옥사이드,-2,0,0,0
아이비고드열매추출물,-1,0,0,0
아이소노닐아이소노나노에이트,-1,0,0,0
아이소데실네오펜타노에이트,-1,0,0,0
아이소도데케인,-1,0,0,0
아이소말트,-1,0,0,0
아이소부테인,-7,0,0,0
아이소세틸알코올,-1,0,0,0
아이소스테아릭애씨드,-1,0,0,0
아이소스테아릴세바케이트,0,0,0,0
아이소프로필라우로일사코시네이트,-1,0,0,0
아이소프로필미리스테이트,-1,0,0,0
아이소프로필알코올,-2,0,0,0
아이소프로필티타늄트라이아이소스테아레이트,-1,0,0,0
아이소프로필팔미테이트,-1,0,0,0
아이소헥사데칸,-1,0,0,0
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,-1,0,0,0
아크릴레이트/다이메티콘코폴리머,-1,0,0,0
아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머,-1,0,0,0
아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머,-1,0,0,0
아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,0,0,0,0
아크릴레이트코폴리머,-2,0,0,0
아크릴로나이트릴/메틸메타크릴레이트/비닐리덴클로라이드코폴리머,0,0,0,0
아텔로콜라겐,-1,0,0,0
아틀라스시다껍질오일,0,0,0,0
아티초크잎추출물,-1,0,0,0
아프라모멈안구스티폴리움씨추출물,0,0,0,0
알라닌,-1,0,0,0
알란토인,-1,5,0,5
알로에베라꽃추출물,-3,0,0,5
알로에베라잎추출물,-3,0,0,5
알로에잎추출물,-2,0,0,5
알루미나,-2,0,0,0
알루미늄다이미리스테이트,-1,0,0,0
알루미늄다이스테아레이트,-3,0,0,0
알루미늄스타치옥테닐석시네이트,-2,0,0,0
알루미늄스테아레이트,-2,0,0,0
알루미늄하이드록사이드,-1,0,0,0
알부틴,-1,0,5,0
알엔에이,-1,0,0,0
알지닌,-1,0,0,0
알진,-1,0,0,0
알코올,-2,0,-5,-5
알테로모나스발효여과물,0,0,0,0
알테로모나스발효추출물,-1,0,0,0
알파-아이소메틸아이오논,-5,0,0,0
알펜로제추출물,-1,0,0,0
야생얌뿌리추출물,-1,0,0,0
야자씨드버터,-1,0,0,0
약모밀추출물,-1,0,0,0
에난티아클로란타껍질추출물,0,0,0,0
에델바이스추출물,-1,0,0,0
에르고치오네인,-1,0,0,0
에리스리톨,-1,0,0,0
에스알,0,0,0,0
에스에이치-데카펩타이드-7,0,0,0,0
에스에이치-옥타펩타이드-4,0,0,0,0
에스에이치-올리고펩타이드-1,0,0,0,0
에스에이치-올리고펩타이드-2,0,0,0,0
에스에이치-올리고펩타이드-9,0,0,0,0
에스에이치-펜타펩타이드-19,0,0,0,0
에스에이치-폴리펩타이드-1,0,0,0,0
에스에이치-폴리펩타이드-22,0,0,0,0
에스에이치-폴리펩타이드-3,0,0,0,0
에어플랜트잎추출물,-1,0,0,0
에이치디아이/트라이메틸올헥실락톤크로스폴리머,-1,0,0,0
에이치디아이/피피지/폴리카프롤락톤크로스폴리머,-1,0,0,0
"에틸2,2-다이메틸하이드로신나몰",0,0,0,0
에틸멘탄카복사마이드,-1,0,0,0
에틸파라벤,-4,0,0,0
에틸헥실글리세린,-1,0,0,0
에틸헥실메톡시신나메이트,-6,0,0,0
에틸헥실살리실레이트,-4,0,0,0
에틸헥실팔미테이트,-1,0,0,0
에틸헥실하이드록시스테아레이트,-1,0,0,0
엑토인,-1,0,0,0
연꽃수,-1,0,0,0
연꽃씨추출물,-1,0,0,0
연꽃추출물,-1,0,0,0
영실추출물,-1,0,0,0
영하구기자추출물,-1,0,0,0
오레가노잎/꽃/줄기추출물,0,0,0,0
오레가노잎추출물,-1,0,0,0
오레가노추출물,0,0,0,0
오렌지오일,-1,0,0,-5
오수유추출물,-1,0,0,0
오조케라이트,-1,0,0,0
오크라열매추출물,-1,0,0,0
오팔가루,0,0,0,0
옥설,-1,0,0,0
옥수수커넬추출물,-1,0,0,0
옥토크릴렌,-3,0,0,0
옥틸도데실네오펜타노에이트,-1,0,0,0
옥틸도데실스테아로일스테아레이트,-1,0,0,0
옥틸도데칸올,-1,0,0,0
온천수,0,0,0,0
올레아놀릭애씨드,-1,0,0,0
올리브오일,-1,0,0,0
완두콩추출물,0,0,0,0
왕귤껍질오일,-3,0,0,0
우뭇가사리추출물,-1,0,0,0
우유지질,-1,0,0,0
울금뿌리추출물,0,0,0,0
울트라마린,-4,0,0,0
월도잎추출물,-1,0,0,0
위치하젤추출물,-1,5,0,0
유제놀,-7,0,0,0
유차나무씨오일,-1,0,0,0
유칼립투스잎추출물,-1,0,0,-5
육계추출물,-1,0,0,0
은행잎추출물,-1,0,0,0
이디티에이,-2,0,0,0
이소류신,-1,0,0,0
인도멀구슬나무꽃추출물,-1,0,0,0
인도멀구슬나무잎추출물,-1,0,0,0
인삼추출물,-1,0,0,0
일랑일랑꽃오일,-3,0,0,-5
자수정가루,-1,0,0,0
자이언트켈프추출물,-1,0,0,0
자일리톨,-1,0,0,0
자일리틸글루코사이드,-1,0,0,0
자작나무수액,-1,0,0,0
작약꽃추출물,-1,0,0,0
작약추출물,-1,0,0,0
잔탄검,-1,0,0,0
장미꽃오일,-1,0,0,0
장미꽃추출물,-1,0,0,0
장미추출물,-1,0,0,0
적색202호,-3,0,0,0
적색218호,0,0,0,0
적색산화철,-2,0,0,0
접시꽃추출물,0,0,0,0
정제수,-1,0,0,0
제라니올,-7,0,0,0
중국목련나무꽃추출물,-1,0,0,0
지르코늄디옥사이드,-4,0,0,0
지황추출물,-1,0,0,0
진주가루,-1,0,0,0
진주추출물,0,0,0,0
진주층,-1,0,0,0
징크글루코네이트,-3,0,0,0
징크스테아레이트,-2,0,0,0
징크옥사이드,-3,5,0,0
징크클로라이드,-4,0,0,0
참산호말추출물,-1,0,0,0
청각추출물,0,0,0,0
청색1호,-2,0,0,0
청색1호레이크,0,0,0,0
카나우바왁스,-1,0,0,0
카민,-1,0,0,0
카보머,-1,0,0,0
카올린,-1,0,0,0
카퍼트라이펩타이드-1,-1,0,0,0
카페인,-1,0,0,0
카프릴로일글라이신,-1,0,0,0
카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드,-1,0,0,0
카프릴릭/카프릭트라이글리세라이드,-1,0,0,0
카프릴릴글라이콜,-1,0,0,0
카프릴릴메티콘,-1,0,0,0
카프릴릴트라이메티콘,-1,0,0,0
카프릴하이드록사믹애씨드,-1,0,0,0
칸데릴라왁스,-1,0,0,0
칼라민,-1,0,0,0
칼슘세륨옥사이드,0,0,0,0
칼슘카보네이트,-1,0,0,0
칼슘클로라이드,-1,0,0,0
캐모마일꽃수,-1,0,5,5
캐모마일꽃추출물,-1,0,5,5
캐비어추출물,-1,0,0,0
커먼자스민꽃추출물,-1,0,0,0
커먼자스민오일,-3,0,0,-5
커먼자스민추출물,-2,0,0,0
코코넛수,-1,0,0,0
코파이바발삼레진,-2,0,0,0
콜레스테롤,-1,0,0,0
콜레스테릴헥실다이카바메이트풀루란,0,0,0,0
콩단백질,-1,0,0,0
쿼터늄-18벤토나이트,-2,0,0,0
크로뮴옥사이드그린,-5,0,0,0
크로뮴하이드록사이드그린,-4,0,0,0
크젤마니엘라기라타추출물,0,0,0,0
클라도시폰노바에-칼레도니아에추출물,0,0,0,0
클로렐라추출물,-1,0,0,0
클로로자일레놀,-3,0,0,0
클로페네신,-2,0,0,0
키토산,-1,0,0,0
타이로신,-1,0,0,0
탤크,-3,0,0,0
테르무스테르모필루스발효물,-1,0,0,0
테아닌,0,0,0,0
테트라소듐이디티에이,-2,0,0,0
테트라헥실데실아스코베이트,-1,0,0,0
토르말린,-1,0,0,0
토코페롤,-1,0,5,0
토코페릴아세테이트,-3,0,0,0
톳추출물,0,0,0,0
퉁퉁마디추출물,-1,0,0,0
트라이데실트라이멜리테이트,-1,0,0,0
트라이메틸실록시실리케이트,-1,0,0,0
트라이메틸실록시실리케이트/다이메티콘올크로스폴리머,-1,0,0,0
트라이메틸실록시페닐다이메티콘,-1,0,0,0
트라이메틸올프로판트라이아이소스테아레이트,-1,0,0,0
트라이베헤닌,-1,0,0,0
트라이소듐이디티에이,-1,0,0,0
트라이실록세인,-2,0,0,0
트라이에탄올아민,-5,0,0,0
트라이에톡시실릴에틸폴리다이메틸실록시에틸헥실다이메티콘,0,0,0,0
트라이에톡시카프릴릴실레인,-1,0,0,0
트라이에틸시트레이트,-1,0,0,0
트라이에틸헥사노인,-1,0,0,0
트라이플루오로프로필다이메티콘,0,0,0,0
트레오닌,-1,0,0,0
트레할로오스,-1,0,0,0
트로메타민,-2,0,0,0
트리스테아린,-1,0,0,0
티타늄디옥사이드,-3,5,0,5
티트리잎오일,-1,0,0,-5
틴옥사이드,-2,0,0,0
파라크레스꽃추출물,-1,0,0,0
파이틱애씨드,-1,0,0,0
판테놀,-1,0,5,0
판토락톤,-1,0,0,0
팔각회향추출물,-1,0,0,0
팔미토일올리고펩타이드,-1,0,0,0
팔미토일테트라펩타이드-7,-1,0,0,0
팔미토일트라이펩타이드-1,-1,0,0,0
팔미토일프롤린,-1,0,0,0
팔미토일헥사펩타이드-12,-1,0,0,0
팔미틱애씨드,-1,-5,0,0
펄라이트,-1,0,0,0
페네틸알코올,-1,0,0,0
페녹시에탄올,-4,0,0,0
페닐벤즈이미다졸설포닉애씨드,-3,0,0,0
페닐알라닌,-1,0,0,0
페닐에틸레조시놀,-1,0,0,0
페닐트라이메티콘,-1,0,0,0
페릭암모늄페로시아나이드,-4,0,0,0
페릭페로시아나이드,-4,0,0,0
페트롤라툼,-4,-5,0,0
페퍼민트오일,-1,0,0,0
페퍼민트잎추출물,-1,0,0,0
페퍼민트추출물,-1,0,-5,-5
펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,0,0,0,0
펜타에리스리틸테트라아이소스테아레이트,-1,0,0,0
펜타에리스리틸테트라에틸헥사노에이트,-1,0,0,0
펜타펩타이드-18,-1,0,0,0
펜틸렌글라이콜,-1,0,0,0
포도씨오일,-1,0,0,0
포스포리피드,-1,0,0,0
포타슘C12-13알킬포스페이트,-1,0,0,0
포타슘라우레이트,-1,0,0,0
포타슘솔베이트,-3,0,0,0
포타슘클로라이드,-1,0,0,0
포타슘포스페이트,-1,0,0,0
포타슘하이드록사이드,-3,0,0,0
폴리(트라이펩타이드-6,0,0,0,0
폴리C10-30알킬아크릴레이트,-1,0,0,0
폴리글루타믹애씨드,-1,0,0,0
폴리글리세릴-2트라이아이소스테아레이트,-1,0,0,0
폴리글리세릴-3다이아이소스테아레이트,-1,0,0,0
폴리글리세릴-3메틸글루코오스다이스테아레이트,-1,0,0,0
폴리글리세릴-3폴리리시놀리에이트,-1,0,0,0
폴리글리세릴-4아이소스테아레이트,-1,0,0,0
폴리글리세릴-5폴리리시놀리에이트,0,0,0,0
폴리글리세릴-6옥타스테아레이트,-1,0,0,0
폴리글리세릴-6폴리리시놀리에이트,-1,0,0,0
폴리도데칸아미데아미늄트라이아자다이페닐에텐설포네이트,-1,0,0,0
폴리메틸메타크릴레이트,-1,0,0,0
폴리메틸실세스퀴옥세인,-1,0,0,0
폴리부텐,-1,0,0,0
폴리비닐알코올,-1,0,0,0
폴리비닐알코올크로스폴리머,-1,0,0,0
폴리솔베이트20,-3,0,0,0
폴리솔베이트40,-3,0,0,0
폴리솔베이트60,-3,0,0,0
폴리솔베이트80,-3,0,0,0
폴리솔베이트85,-3,0,0,0
폴리실리콘-11,-1,0,0,0
폴리실리콘-2,-1,0,0,0
폴리에틸렌,-1,0,0,0
폴리쿼터늄-51,-1,0,0,0
폴리쿼터늄-61,0,0,0,0
